card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active,client_name,sex
yes,0,36,3.5,0.22,633.41,yes,no,0,95,1,17,Michael Gutierrez,Male
yes,0,0,4.0,0.07,242.13,yes,no,3,24,1,4,Jessica Thomas,Female
no,0,28,2.58,0.0,0.0,yes,no,0,41,1,11,Christine Holt,Female
yes,0,45,12.0,0.02,200.49,yes,yes,1,24,1,6,Zachary Novak,Male
yes,1,0,3.7,0.01,32.46,no,no,0,186,0,5,Jared Cabrera,Male
no,0,23,1.43,0.0,0.0,yes,no,0,12,1,6,Steven Knight,Not Declared
yes,0,38,3.68,0.02,59.62,yes,no,3,44,1,11,Amy Cohen,Not Declared
no,0,23,2.55,0.0,0.0,yes,no,2,24,1,0,Jacob Richards,Male
no,4,37,3.5,0.0,0.0,yes,no,2,15,1,9,Amanda Robinson,Female
yes,0,28,2.3,0.16,315.2,yes,no,1,13,0,4,Mrs. Angela Wilkins,Female
yes,0,26,3.19,0.1,258.29,no,no,0,10,1,11,Stephanie Brown,Female
yes,0,26,2.35,0.0,0.0,no,no,0,36,1,11,Anthony Gardner,Male
no,4,25,1.97,0.0,0.0,no,no,0,7,1,6,Allen Hill,Male
yes,0,41,3.6,0.15,457.49,yes,no,3,68,1,10,Lee King,Male
no,1,38,3.2,0.0,0.0,no,no,2,14,1,6,Matthew Gutierrez,Male
yes,0,34,2.0,0.0,4.58,yes,no,2,38,1,6,Joseph Lutz,Male
yes,0,31,2.85,0.31,745.04,yes,no,2,30,1,11,Nathan Palmer,Male
yes,0,24,3.1,0.07,180.18,yes,no,1,12,1,23,Brian Reed,Male
yes,0,25,1.5,0.09,111.84,yes,no,1,14,1,19,Mrs. Nancy Butler DVM,Female
yes,0,57,4.8,0.15,613.64,yes,no,0,138,1,4,Cody Clark,Male
yes,0,23,2.6,0.15,333.61,no,no,0,6,1,0,Bradley Sanchez,Male
yes,0,23,2.85,0.09,207.71,yes,no,1,50,0,8,Jonathan Jones,Male
yes,0,28,3.35,0.07,199.37,yes,no,0,18,1,2,Jimmy Mills,Male
yes,0,32,1.81,0.05,81.44,yes,no,0,9,1,22,Stacy Gibson,Female
yes,0,34,3.6,0.04,116.32,yes,yes,4,48,1,8,Michael Mccall,Male
no,0,31,1.52,0.0,0.0,no,no,2,20,1,0,Donald Olson,Male
yes,0,24,2.4,0.27,530.18,no,no,1,24,1,13,Nicholas Monroe,Male
no,0,38,3.0,0.0,0.0,no,no,0,36,0,2,Jordan Banks,Male
no,7,36,3.5,0.0,0.0,yes,no,2,60,1,7,Dylan Wall,Male
yes,0,29,3.0,0.05,116.45,yes,no,1,12,1,8,Kimberly Day,Female
yes,0,34,2.34,0.18,357.59,yes,no,0,108,0,11,Thomas Castillo,Male
yes,0,25,2.1,0.12,214.86,no,no,0,26,1,17,Scott Bell,Male
yes,0,22,1.6,0.15,200.59,yes,no,0,27,1,3,Shelby Johnson,Female
yes,0,26,2.22,0.03,56.46,no,no,0,10,1,2,Donald Gamble,Male
yes,0,32,3.65,0.01,17.67,yes,no,2,20,1,17,Michael Rosario,Male
no,6,39,3.2,0.0,0.0,no,no,0,88,1,7,Cory Brown,Male
no,0,30,2.6,0.0,0.0,no,no,0,5,0,0,Juan Scott,Male
yes,1,60,6.1,0.09,479.44,yes,no,1,244,1,14,Shaun Silva,Not Declared
no,2,36,3.0,0.0,0.0,no,no,0,74,1,16,Beth Knight,Female
yes,0,36,4.5,0.08,308.92,yes,no,0,60,1,16,Ashley Cooper,Female
yes,0,28,2.18,0.08,144.64,yes,no,0,5,1,14,James Fernandez,Male
no,0,66,3.25,0.0,0.0,yes,no,3,300,1,13,Robert Sims,Male
yes,0,35,2.2,0.13,244.65,yes,no,1,13,1,9,Carrie Banks,Female
yes,0,74,2.81,0.02,38.83,yes,no,0,511,1,10,Russell Clark,Male
yes,0,28,2.43,0.23,462.66,yes,no,2,29,1,17,Steven Santos,Male
yes,0,55,6.7,0.04,214.93,yes,no,1,300,1,13,Emily Andrews,Female
no,1,38,4.0,0.0,0.0,yes,yes,3,40,1,7,Matthew Bell,Male
no,0,37,5.16,0.0,0.0,yes,yes,0,86,1,1,Steven Smith,Male
yes,0,39,5.1,0.06,244.42,yes,no,3,132,1,15,Michael Jones,Male
yes,0,44,4.2,0.04,135.18,yes,no,2,150,0,2,Bradley Strickland,Male
yes,0,30,5.6,0.04,185.74,yes,no,0,1,0,8,Joseph Matthews,Male
yes,0,23,1.86,0.27,413.6,no,no,0,3,1,4,Rachel Brown,Female
no,0,27,1.64,0.0,0.0,no,no,0,104,1,0,Jeremy Payne,Male
yes,0,51,6.8,0.0,14.67,no,no,0,38,0,5,Emily Hernandez,Female
yes,0,22,1.85,0.01,16.91,no,no,0,48,1,4,Morgan Chaney,Female
no,0,22,1.8,0.0,0.0,no,no,2,4,1,0,Sabrina Smith,Not Declared
no,1,36,3.0,0.0,0.0,yes,no,1,12,1,16,Mary Hopkins,Female
yes,0,36,2.2,0.01,20.33,yes,no,0,77,1,0,Kimberly Rivera,Female
no,1,22,1.8,0.0,0.0,no,no,0,6,1,2,Jacqueline Wade,Female
yes,0,32,2.6,0.0,5.58,no,no,0,84,1,21,Mr. Alan Haynes,Male
no,0,27,2.0,0.0,0.0,no,no,0,24,1,4,David Maxwell,Not Declared
yes,0,38,5.0,0.06,238.36,yes,no,3,9,1,0,David Lewis,Male
yes,0,28,4.22,0.09,300.99,yes,no,1,22,1,3,Jose Sutton,Male
yes,0,38,4.02,0.16,552.34,no,no,3,102,0,3,Brian Boyd,Male
yes,0,26,3.0,0.05,113.59,no,no,0,28,1,8,Robert Gallagher,Male
yes,0,22,3.15,0.04,99.92,no,no,0,14,0,3,Jeffrey Campbell,Male
yes,0,23,2.8,0.06,147.33,no,no,0,64,1,8,Christopher Evans,Male
yes,0,29,2.86,0.2,480.32,no,no,0,47,1,1,Carl Hill,Male
yes,0,23,2.04,0.18,304.9,no,no,0,12,1,9,James Vazquez,Male
yes,0,33,3.5,0.02,63.46,yes,no,0,12,1,8,Andrea Bailey,Female
yes,0,64,7.12,0.03,149.7,yes,no,1,241,1,8,Jamie Jackson,Female
no,0,23,2.5,0.0,0.0,no,no,0,36,0,0,Jerome Jones,Male
yes,0,23,3.3,0.06,166.06,no,no,0,2,1,5,Kathleen Krause,Female
yes,0,36,2.2,0.08,148.19,no,no,1,8,1,4,Joshua Daniels,Male
yes,1,38,3.2,0.05,121.22,yes,no,1,84,0,12,Alexis Thomas,Female
yes,0,22,4.0,0.05,160.03,yes,no,0,27,1,4,Joseph Gonzalez,Male
yes,0,38,5.57,0.04,201.48,no,no,3,30,1,7,David Jacobs MD,Male
yes,0,36,7.0,0.01,59.12,yes,no,3,18,1,5,Diane Bailey,Female
no,1,26,2.3,0.0,0.0,no,no,0,66,1,3,Sara Hampton,Female
yes,0,21,5.5,0.08,356.88,no,no,0,50,1,0,Larry Rodriguez,Male
yes,1,41,2.5,0.08,159.2,no,yes,2,131,0,3,Robert Marks,Male
no,1,40,2.5,0.0,0.0,yes,no,1,96,1,8,Leslie Olson,Female
yes,0,25,8.0,0.02,112.88,yes,no,2,18,1,0,Brent Thomas,Male
yes,0,23,1.83,0.07,108.98,no,no,1,12,0,10,Shaun Johnson,Male
yes,0,27,2.9,0.04,91.69,no,no,0,9,0,3,Philip Davis,Male
no,3,38,4.7,0.0,0.0,yes,no,3,36,1,8,Joseph Johnston,Male
no,2,23,1.72,0.0,0.0,no,no,0,204,0,5,Michael Brennan,Male
no,0,37,1.55,0.0,0.0,no,no,1,36,1,0,Deborah Morales,Female
yes,0,41,3.82,0.15,462.02,no,no,2,36,1,2,John Austin,Male
yes,0,52,2.4,0.07,138.57,no,yes,1,96,1,2,Nicole Roberts,Female
yes,0,31,2.4,0.19,373.42,no,no,1,54,0,1,Kenneth Wood,Male
yes,0,36,3.0,0.12,304.62,no,no,1,180,1,5,Shannon Harrison,Female
yes,0,21,1.6,0.29,385.78,no,no,0,192,1,3,William Gaines,Male
yes,0,42,2.68,0.14,319.43,no,no,1,84,1,0,Ralph Leon,Male
yes,0,32,6.3,0.09,465.94,no,yes,4,60,1,7,Carl Valdez,Male
yes,0,24,1.6,0.05,59.79,no,no,0,43,1,2,Michael Green,Male
yes,0,32,2.6,0.08,170.46,no,no,1,76,0,3,Matthew Wood,Male
yes,0,28,2.1,0.14,242.2,no,no,2,24,1,7,Dustin Howell,Male
no,1,28,1.93,0.0,0.0,no,no,2,74,1,4,David Smith,Male
yes,0,23,2.5,0.23,478.71,yes,no,0,12,1,4,Mr. William Castro,Male
no,1,44,1.8,0.0,0.0,no,yes,0,60,1,2,Natasha Roy,Female
yes,0,31,3.56,0.03,98.34,no,no,0,72,1,9,Todd Woods,Male
yes,0,24,3.4,0.11,301.02,no,no,0,17,1,7,Scott Burke II,Male
yes,0,28,2.55,0.24,509.05,no,no,1,90,1,3,Nathan Tyler,Male
yes,0,47,4.92,0.04,183.9,yes,yes,1,288,1,14,Johnny Jones,Male
yes,0,26,3.9,0.01,46.52,no,no,0,30,1,13,Tammy Jensen,Female
yes,0,37,5.2,0.06,256.19,no,no,0,12,0,0,Daniel Anderson,Male
yes,0,54,9.0,0.06,470.97,yes,no,3,147,1,6,Mr. Ian Villarreal,Male
yes,0,35,6.0,0.46,2291.17,no,no,2,10,1,0,Robert Carlson,Male
yes,0,35,7.5,0.02,128.43,yes,no,4,19,1,12,Jacob Avila,Male
yes,0,44,9.0,0.26,1949.86,no,no,2,4,1,7,Devin Hanna MD,Male
yes,0,20,2.1,0.15,269.15,no,no,1,27,0,6,Dale Fowler,Male
yes,0,23,3.0,0.02,41.48,no,no,3,18,1,3,Johnny Lawrence,Male
yes,0,27,2.6,0.04,79.36,no,no,0,168,1,5,William Herrera,Male
yes,0,54,5.48,0.13,612.86,yes,no,1,146,1,4,Anna Evans,Female
yes,0,40,8.2,0.03,192.45,yes,no,3,172,1,15,Jose Santana,Not Declared
yes,1,32,2.5,0.16,327.74,no,no,0,147,1,3,Patrick Lee,Male
yes,0,28,3.0,0.07,177.62,yes,no,0,20,1,0,Andrew Harris,Male
yes,0,35,6.5,0.07,365.91,yes,no,0,6,1,0,Patricia Fritz,Female
yes,1,56,7.57,0.01,41.33,yes,yes,2,39,1,18,Christopher Parker,Male
yes,1,28,2.0,0.05,86.15,no,no,1,61,1,2,Courtney Clark,Female
no,3,31,3.25,0.0,0.0,no,no,1,72,1,7,Tanner Wilson,Male
no,2,24,3.0,0.0,0.0,no,no,0,24,1,4,Miguel Hardin,Male
yes,0,40,7.0,0.06,376.76,no,no,3,6,1,2,Brandon Torres,Male
no,7,33,7.5,0.0,0.0,no,no,0,24,1,8,Gabriel Flowers,Male
yes,0,38,3.8,0.06,189.18,yes,no,0,23,1,6,Nancy Cooley,Female
yes,0,25,3.7,0.08,260.12,yes,no,0,236,1,6,John Norman,Not Declared
yes,0,33,3.4,0.14,406.98,yes,no,1,36,1,7,Derek Morris,Male
no,1,27,2.85,0.0,0.0,no,no,0,60,0,7,James Keller,Male
yes,0,28,2.6,0.05,118.72,no,no,0,33,1,4,Brent Gibson,Male
yes,0,22,1.57,0.07,91.73,no,no,0,18,1,1,Kimberly Gallagher,Female
yes,0,24,1.8,0.13,200.24,yes,no,0,151,1,5,Joel Ray,Male
yes,0,39,3.1,0.17,438.37,yes,no,2,18,1,3,Alan Peterson,Male
no,0,25,1.5,0.0,0.0,no,yes,4,48,0,1,Ann Simmons,Female
yes,1,19,2.19,0.34,621.66,no,no,0,59,1,2,Juan Khan,Male
yes,0,31,5.5,0.07,324.7,yes,no,3,6,1,7,Michael Cannon,Male
yes,0,31,4.4,0.04,148.06,yes,no,2,72,1,8,Mary Berger,Female
yes,0,33,3.0,0.38,940.39,yes,no,2,97,1,4,Joshua Wilkins,Male
yes,1,26,2.95,0.13,325.85,no,no,0,24,1,5,Nicholas Hall,Male
yes,0,26,1.6,0.02,30.55,yes,no,0,24,1,5,Raymond Jefferson,Male
yes,0,22,2.0,0.12,192.82,no,no,0,8,1,8,Brittney Wilson,Female
yes,0,25,2.85,0.14,324.03,no,yes,1,42,1,3,Eric Smith,Male
yes,0,26,2.2,0.05,91.99,no,no,0,42,1,8,Ryan Hamilton,Male
yes,0,29,3.65,0.09,267.35,no,no,0,24,1,17,Steven Williams,Male
no,9,35,1.7,0.0,0.0,no,no,0,90,1,10,Donald Kennedy,Male
yes,0,57,1.65,0.01,12.25,no,no,0,24,1,3,Tracy Barber,Female
yes,0,52,2.66,0.04,98.58,yes,no,3,228,1,0,Adam Hurst,Not Declared
yes,0,41,2.75,0.02,43.21,yes,no,1,136,0,9,Michael Owens,Male
yes,0,39,1.56,0.05,60.07,no,no,0,25,1,3,Cynthia Mendoza,Female
no,1,56,8.0,0.0,0.0,yes,no,0,408,1,7,Ricky Richardson,Male
yes,0,28,2.03,0.11,187.14,yes,no,1,91,1,1,Robert Burton,Male
yes,0,38,4.0,0.01,29.98,yes,no,0,16,1,8,Frederick Hernandez,Male
yes,0,55,6.7,0.08,445.81,yes,no,0,35,1,0,Willie Conley,Male
yes,0,29,2.5,0.18,374.05,yes,no,0,70,1,9,Sarah Newton,Female
yes,0,19,3.0,0.0,0.0,no,no,0,49,1,3,Lori Mcguire,Female
yes,0,25,3.2,0.05,121.06,no,no,0,4,1,6,William Santiago,Male
yes,0,27,3.18,0.09,240.82,no,no,2,12,0,0,Jacqueline Martinez,Female
yes,0,27,3.2,0.03,82.34,yes,no,0,23,1,9,Stanley Pratt,Male
yes,1,26,1.73,0.09,131.52,no,no,0,8,1,10,Thomas Smith,Male
yes,0,25,2.4,0.11,215.74,no,no,0,150,1,18,Claire Mclaughlin,Female
no,1,32,2.25,0.0,0.0,no,no,1,42,0,13,Richard Reynolds,Male
yes,0,43,3.95,0.16,517.21,yes,no,6,3,0,0,Heather Thomas,Female
yes,0,34,3.0,0.01,36.2,no,no,1,30,0,2,Anna Anderson,Female
yes,0,27,2.65,0.07,159.66,no,no,0,8,1,0,Nicole Burke,Not Declared
no,5,28,2.24,0.0,0.0,no,no,0,72,1,11,Mark Dawson,Male
yes,0,39,4.7,0.06,247.3,yes,no,4,12,1,10,William Foster II,Male
yes,0,40,3.48,0.01,21.72,no,no,0,28,1,22,William Flynn,Male
yes,0,23,2.55,0.01,16.25,no,no,1,6,1,0,Carla Gallagher,Female
yes,1,43,2.77,0.04,100.34,yes,no,0,44,1,14,Christine Hughes,Female
yes,0,47,3.11,0.03,64.76,no,no,0,7,1,16,Leroy Jimenez,Male
yes,0,18,1.97,0.06,103.92,no,no,0,64,0,1,Russell Schneider,Male
yes,1,21,1.8,0.19,288.8,no,no,0,192,1,8,David Suarez,Male
no,1,54,9.4,0.0,0.0,yes,no,1,94,0,2,Robert Parker,Male
yes,0,35,5.5,0.01,58.61,no,no,0,36,1,2,Mathew Barron,Male
no,0,24,1.5,0.0,0.0,no,no,0,18,1,0,Jeremy Gutierrez,Not Declared
yes,0,24,2.7,0.17,387.17,no,no,1,18,1,4,Dennis Gonzalez,Male
yes,0,23,2.35,0.07,136.04,no,no,0,25,1,9,Ryan Wood,Male
yes,0,39,4.6,0.03,105.32,no,no,2,4,1,1,Pamela Turner,Female
yes,0,31,11.0,0.01,97.42,no,no,0,12,1,0,Melanie Edwards,Not Declared
yes,0,62,2.65,0.1,229.49,no,no,0,100,1,1,Robert Gallegos,Not Declared
yes,1,36,7.35,0.07,436.28,no,no,0,51,0,14,Elizabeth Wallace,Female
yes,0,23,3.2,0.02,45.12,no,no,0,14,1,0,Michael Mccoy,Male
yes,0,28,6.2,0.07,355.97,yes,no,0,18,1,9,Amy Garcia,Female
yes,1,38,3.27,0.24,650.44,no,no,2,7,1,3,Joshua Gardner,Male
yes,2,49,3.7,0.14,442.45,no,no,4,216,1,11,Anthony Reynolds,Male
yes,0,50,1.75,0.21,310.84,no,no,0,36,1,1,Mark Jensen,Male
no,0,23,2.42,0.0,0.0,no,yes,2,132,1,1,Jermaine Barrett,Male
no,1,29,2.7,0.0,0.0,no,no,1,347,0,1,Vincent Grant,Male
yes,0,45,3.7,0.14,426.83,no,no,0,24,1,2,Matthew Smith,Male
yes,0,31,3.2,0.01,36.25,no,no,1,12,1,1,Anthony Mccormick,Male
yes,0,31,3.1,0.13,337.06,no,no,1,52,1,3,Victoria Hernandez,Female
no,0,37,9.0,0.0,0.0,no,no,0,132,1,0,Fernando Simon,Male
yes,3,27,5.5,0.22,1010.5,no,yes,0,72,1,11,Robert Roberts,Male
no,0,36,4.1,0.0,0.0,yes,no,2,30,1,0,Jermaine Herring,Male
yes,0,38,3.0,0.23,568.24,yes,no,0,46,1,2,Nancy Ryan,Female
yes,0,25,2.8,0.2,461.92,no,no,0,66,1,3,Jenny Bender,Female
yes,0,41,5.1,0.03,140.01,no,no,1,63,1,4,Jennifer Cooper,Female
yes,0,34,7.0,0.04,206.38,no,yes,6,63,1,3,Roger Summers,Male
yes,0,24,2.3,0.37,719.51,no,no,0,76,1,2,James Mcpherson,Male
yes,0,32,2.3,0.2,383.31,no,no,1,63,1,6,Lee Andrews,Male
no,1,24,1.9,0.0,0.0,no,no,1,14,0,4,Eduardo Willis,Male
yes,0,23,2.3,0.14,265.65,no,no,0,6,1,3,Jeffrey Charles,Not Declared
no,1,22,1.5,0.0,0.0,no,no,3,14,1,4,George Young,Male
yes,0,26,2.38,0.14,282.73,no,yes,1,114,1,1,Alexander Williams,Male
yes,0,30,2.8,0.16,383.57,no,no,0,12,1,6,Kathleen Rangel,Female
yes,0,27,2.52,0.24,494.89,no,no,1,100,1,3,Jacob Williams,Male
yes,0,27,2.2,0.01,12.65,no,no,0,60,0,2,Calvin Tucker,Male
yes,0,32,3.2,0.12,317.46,no,no,0,30,1,1,Michael Morrison,Male
yes,0,32,3.7,0.0,9.74,no,no,0,86,1,8,Fred Moore,Male
yes,0,46,1.8,0.03,49.42,no,no,1,168,1,2,James Baker,Male
no,2,47,2.35,0.0,0.0,no,no,0,159,1,4,John Barber,Male
yes,0,22,1.82,0.54,821.82,no,no,0,93,1,2,Andrea Huber,Female
yes,0,42,5.5,0.07,323.95,no,no,0,98,1,4,Oscar Watts,Male
no,12,30,2.6,0.0,0.0,no,no,0,228,1,14,Isaiah Coffey,Male
yes,0,21,2.15,0.27,476.32,no,no,0,30,1,0,Katie Drake,Female
yes,0,36,3.8,0.04,112.99,yes,no,3,77,1,4,Paul Alvarado,Male
yes,0,37,2.0,0.03,44.46,no,no,1,38,0,3,Jennifer Smith,Female
yes,2,26,2.45,0.12,248.51,no,no,0,5,1,15,Tyler Calhoun,Male
yes,1,46,3.5,0.11,319.79,yes,no,1,121,0,5,Todd Tyler,Male
yes,0,25,2.8,0.33,758.94,no,no,0,2,1,7,Keith Vincent,Male
yes,1,30,1.99,0.25,412.99,no,no,0,82,1,8,Amy Osborn,Female
no,0,27,2.0,0.0,0.0,no,no,0,48,1,0,Autumn Howard,Female
yes,0,21,2.1,0.08,131.99,yes,no,0,194,1,5,Allen Livingston,Male
yes,0,20,2.79,0.02,52.49,no,no,0,86,1,5,Suzanne Young,Female
yes,0,23,2.32,0.12,225.27,no,no,0,3,1,8,Shawn Rodriguez,Male
yes,0,45,4.6,0.08,298.02,no,no,2,72,1,5,James Craig DDS,Male
no,1,26,2.0,0.0,0.0,yes,no,2,60,1,7,Leonard Graham,Male
yes,0,29,3.0,0.07,173.47,no,no,1,60,1,1,Olivia Gonzalez,Female
yes,0,52,3.33,0.03,79.68,yes,no,1,243,1,3,Christopher Warren,Male
yes,0,41,2.48,0.07,138.55,no,no,2,222,0,10,William Myers,Male
yes,0,22,4.3,0.16,565.33,no,no,0,12,1,11,Roger Martin,Male
no,0,33,1.77,0.0,0.0,no,no,0,102,1,1,David Richardson,Male
yes,1,29,2.45,0.11,220.89,no,no,2,84,1,13,Ashley Foster,Female
yes,0,20,1.85,0.34,527.94,yes,no,0,96,1,2,Paul Moore,Male
yes,0,26,2.23,0.06,104.78,no,no,0,12,1,1,Samuel Cook,Male
no,0,22,2.5,0.0,0.0,no,no,3,30,0,0,Eric Howell,Male
yes,3,32,3.51,0.16,466.35,no,no,0,22,1,9,Mary Shaw,Female
yes,0,27,3.29,0.03,88.82,no,no,1,54,1,12,Shawn Snyder,Male
yes,0,28,4.23,0.12,437.13,no,yes,0,30,1,5,Yvette Krause,Female
no,1,36,1.85,0.0,0.0,no,no,2,192,1,2,Jeremy Pratt,Male
yes,0,26,2.2,0.06,114.25,no,no,1,28,1,10,Matthew Mcpherson,Male
no,0,41,3.5,0.0,0.0,no,no,0,54,1,0,Phillip Bryant,Male
yes,0,23,3.0,0.12,293.04,no,no,0,14,1,0,Joel Johnson,Male
yes,0,25,1.8,0.46,683.99,yes,no,0,98,1,2,Robert Rich Jr.,Male
yes,0,25,1.7,0.08,113.1,no,no,1,27,1,8,Mario Diaz,Male
yes,0,29,5.5,0.06,288.36,no,no,2,18,1,3,Christopher Lambert,Male
yes,0,40,2.57,0.05,111.68,no,no,0,54,1,3,Sarah Adams,Not Declared
no,2,59,3.5,0.0,0.0,no,no,0,365,0,5,Meghan Jackson,Female
yes,0,37,2.5,0.07,151.34,no,no,0,15,1,2,Brian Perez,Male
yes,0,30,3.3,0.0,4.58,no,no,1,90,1,4,Brandon Rojas,Male
yes,0,29,2.25,0.11,199.8,no,no,0,36,1,0,Mr. David Jones,Male
yes,1,32,10.0,0.04,308.25,yes,no,3,35,1,4,Tim Mills,Male
yes,0,25,2.9,0.08,193.29,no,no,0,2,1,0,Joseph Stein,Male
no,2,36,2.95,0.0,0.0,no,no,1,72,1,3,Michael Edwards,Male
no,0,25,1.6,0.0,0.0,no,no,0,93,1,0,Kimberly Vazquez,Female
yes,0,28,3.4,0.02,59.85,no,no,0,207,1,4,Gary Williams,Male
no,4,22,2.1,0.0,0.0,yes,no,0,209,1,10,Joseph Randall,Male
yes,0,27,3.2,0.12,313.43,no,no,0,24,1,2,Matthew Black,Male
no,0,29,3.5,0.0,0.0,no,no,6,0,1,2,Edwin Lloyd,Male
yes,0,31,2.47,0.09,195.02,no,no,3,94,1,2,Mark Chavez,Male
yes,0,27,2.6,0.08,162.45,no,no,2,60,1,6,Stephen Vance,Male
no,2,39,4.02,0.0,0.0,no,no,1,84,1,4,Katherine West,Female
yes,0,22,2.1,0.18,314.49,no,no,0,12,0,4,Michael Herrera,Male
yes,0,30,1.95,0.18,292.95,no,no,0,50,1,10,Jennifer Jarvis,Female
no,0,34,3.6,0.0,0.0,no,no,4,14,1,0,Nicole Mendoza,Female
no,2,42,3.7,0.0,0.0,no,no,4,84,0,3,Paul Davis,Male
yes,0,31,3.0,0.21,533.63,no,no,0,7,1,1,Kevin Rhodes,Male
yes,0,32,4.5,0.09,343.65,no,no,0,48,1,4,James Taylor,Male
no,11,24,2.3,0.0,0.0,no,no,0,24,1,12,Mr. Steven Carson,Male
yes,0,45,3.5,0.14,397.03,yes,no,0,234,0,2,James Wilson,Male
yes,0,25,2.1,0.04,71.67,yes,no,0,44,1,5,Lawrence Green,Male
yes,0,40,5.0,0.12,503.55,no,no,0,38,1,19,Steven Barr,Male
yes,0,40,2.45,0.07,142.51,no,no,0,180,1,0,Jordan Brown,Male
yes,0,41,3.5,0.0,8.33,no,no,1,120,1,9,Timothy Chambers,Male
yes,0,24,2.5,0.23,487.48,no,no,0,15,0,1,Jorge Holt,Male
no,11,30,3.6,0.0,0.0,no,no,0,108,1,16,Cheryl Lynch,Female
yes,0,25,2.66,0.16,352.85,yes,no,0,96,1,0,Heather Maddox,Female
no,0,28,2.5,0.0,0.0,no,no,0,82,1,0,Manuel Moore,Male
no,0,28,2.0,0.0,0.0,no,no,0,108,1,0,Benjamin Stone,Male
yes,0,25,3.52,0.02,61.17,no,no,0,15,1,3,Angela Davis,Not Declared
yes,1,23,1.88,0.35,553.11,no,no,0,12,1,3,Amanda Coffey,Female
yes,0,21,2.25,0.03,59.09,no,no,0,15,1,1,Dustin Cortez,Male
yes,0,39,1.71,0.09,132.47,no,no,0,72,1,0,Elaine Phillips,Female
yes,0,25,4.0,0.03,89.83,no,no,0,60,0,5,Juan Reed,Male
yes,0,25,2.16,0.02,36.33,no,no,0,38,0,2,John Rubio,Not Declared
yes,2,40,3.3,0.04,108.98,no,no,1,58,1,14,Melissa Williams,Female
yes,0,37,7.0,0.01,64.56,yes,no,3,96,1,5,Barry Brown,Male
yes,0,25,2.1,0.11,192.64,no,no,0,4,1,8,Matthew Hutchinson,Male
yes,0,41,3.0,0.05,131.77,yes,no,0,166,1,7,Christopher Williamson,Male
yes,1,24,3.5,0.07,203.89,no,no,0,60,1,11,Emily Harrison,Female
no,0,22,2.07,0.0,0.0,no,no,0,1,1,0,Colin Webster,Male
yes,0,19,2.8,0.17,390.17,yes,no,0,10,0,0,Katherine Smith,Female
yes,0,57,5.0,0.0,0.0,yes,yes,0,144,1,7,Clinton Clark,Male
yes,0,33,2.19,0.15,270.37,no,no,0,15,1,7,Angela Curtis,Female
no,14,48,2.0,0.0,0.0,yes,no,1,120,1,15,William Cole,Male
yes,1,48,2.7,0.0,0.0,no,yes,0,120,1,3,Felicia Brown,Female
yes,0,28,2.69,0.16,352.17,no,no,1,62,0,0,Miguel Lee,Male
yes,1,40,3.73,0.06,179.77,yes,no,1,151,1,7,Melissa Jones,Female
yes,0,32,2.0,0.09,156.09,yes,no,2,8,0,2,Ryan Reid,Male
yes,0,44,4.3,0.02,57.92,yes,no,3,156,1,9,Daniel Mason,Male
yes,0,38,5.5,0.04,205.51,yes,no,4,99,1,9,David Smith,Male
yes,0,37,5.92,0.03,149.3,yes,no,2,48,1,7,Michael Tyler,Male
yes,1,44,7.6,0.05,310.74,yes,no,6,207,1,11,Janet Ramirez,Female
yes,0,18,2.82,0.04,97.94,no,no,0,2,0,1,Heather Harris,Not Declared
yes,0,24,2.2,0.07,127.12,yes,no,0,229,0,1,Charles Ramirez,Male
yes,0,47,2.66,0.1,220.79,yes,no,0,269,1,8,Randy Marshall,Male
no,3,31,7.5,0.0,0.0,no,no,0,30,1,7,Tanner Kelley,Not Declared
yes,0,33,4.0,0.26,854.78,yes,no,2,42,1,4,Megan Cox,Female
yes,0,31,6.5,0.11,602.92,yes,no,2,12,1,6,Joshua Wood,Male
yes,0,38,5.6,0.09,436.26,yes,no,4,114,0,7,Jesse Cordova,Male
no,0,19,2.1,0.0,0.0,no,no,0,124,1,2,Brittany Johnson,Female
yes,0,35,4.5,0.02,67.1,yes,no,1,14,1,0,Thomas Thompson,Male
yes,0,29,2.51,0.05,94.27,no,no,1,12,0,0,Robert Espinoza,Male
yes,2,46,10.03,0.01,84.39,yes,no,2,134,1,15,Ernest Salinas,Male
yes,0,19,3.5,0.06,175.44,no,no,1,24,1,3,Ronald Scott,Male
yes,0,22,3.5,0.05,132.13,no,yes,0,8,1,3,Jennifer Martinez,Female
yes,0,24,3.9,0.09,305.84,no,no,2,27,1,0,Vincent Hampton,Male
yes,0,18,2.5,0.21,440.69,no,no,0,4,0,1,Jeffrey Taylor,Male
yes,0,49,5.2,0.15,634.86,yes,no,1,303,1,11,Michael Gonzalez,Male
no,0,47,1.5,0.0,0.0,yes,no,0,60,1,0,Francisco Fox,Male
yes,0,49,10.0,0.01,92.44,yes,no,4,218,0,12,Crystal Garcia,Female
yes,0,57,4.1,0.08,286.57,yes,no,3,121,1,15,Amanda Wells,Female
yes,0,24,2.2,0.07,121.03,no,no,0,22,1,6,Kiara Peterson,Female
yes,0,26,4.38,0.04,136.12,yes,no,5,24,1,6,Matthew Lawson DDS,Male
no,5,38,2.49,0.0,0.0,no,no,2,24,1,10,Jorge Scott,Male
yes,1,29,6.6,0.09,510.09,yes,no,0,24,1,14,Zachary Williams,Male
